alsa-utils,audio utilities
audacity,audio file editor
clang,C compiler
cmake,C build system
curl,cli https download utility
dbus,
dmenu,suckless modular menu
filezilla,FTP client
firefox,web browser
gcc,C compiler
gimp,image file editor
git,Version Control System
i3-gaps,tiling window manager
i3status,status bar for i3
irssi,cli IRC client
make,C build utility
mono,.net for linux
mpc,music player client
mpd,music player daemon
mpv,media player
ncmpcpp,cli music player client
neofetch,cli system info
neovim,cli text editor
NetworkManager,Wired and wireless network manager, comes with a cli
noto-fonts-cjk,East Asian fonts pack
openjdk,java compiler
p7zip,.7z compression utility
patch,code file patch utility
pkg-config,development library query manager
redshift,blue light filter
scrot,cli screenshot
streamlink,cli video stream pipe into video player
unzip,.zip decompression utility
wget,cli https download utility
xbacklight,X server backlight utility
xclip,X server clipboard utility
xcompmgr,X server composition manager
xf86-video-intel,intel video drivers
xorg-fonts,X server fonts
xorg-minimal,X server base install
xrandr,X server resolution and screen utility
xsetroot,X server utility
xwallpaper,X server wallpaper utility
xz,.xz compression utility
zathura,reader shell
zathura-pdf-poppler,zathura pdf plugin
zip,.zip compression utility
zsh,shell
